node,100,101,102,103,104,105,106,107,108,109,110,111,112,113
100,0,5,5,3,4,2,1,8,9,2,1,5,2,5
101,5,0,2,3,10,3,2,5,8,5,2,3,3,2
102,5,2,0,7,5,5,2,3,1,6,2,2,5,2
103,3,3,7,0,9,7,5,9,5,7,5,3,7,3
104,4,10,5,9,0,2,1,2,1,8,1,10,2,10
105,2,3,5,7,2,0,6,5,1,2,6,3,2,3
106,1,2,2,5,1,6,0,4,7,5,5,2,6,2
107,8,5,3,9,2,5,4,0,6,3,4,5,5,5
108,9,8,1,5,1,1,7,6,0,6,7,8,1,8
109,2,5,6,7,8,2,5,3,6,0,3,5,2,5
110,1,2,2,5,1,6,5,4,7,3,0,2,6,2
111,5,3,2,3,10,3,2,5,8,5,2,0,3,3
112,2,3,5,7,2,2,6,5,1,2,6,3,0,3
113,5,2,2,3,10,3,2,5,8,5,2,3,3,0
